Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
186,kulinaria.recetas,AGUS LIPORACE,4.5M,2.2M,2200000,299.6K,299600,281,281,8.6K,8600
187,areyoukiddingtv,AreYouKiddingTV,5.7M,4.8M,4800000,665.7K,665700,1.4K,1400,385,385
188,faryanggaa,Ryann,6.1M,3.5M,3500000,470.5K,470500,2.3K,2300,1.2K,1200
189,_lilg4,LIL G⭐️,3M,2.6M,2600000,406K,406000,2.7K,2700,2.7K,2700
190,_angelomarasigan,Angelo,4M,4M,4000000,564.8K,564800,1.7K,1700,833,833
191,adamalhidayat,ADAMALHDYT,3.8M,5.7M,5700000,472.2K,472200,1.1K,1100,1K,1000
192,larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,4.2M,3.6M,3600000,418.7K,418700,2.4K,2400,1.4K,1400
193,bomanizer,Bomanizer,1.9M,1.9M,1900000,381.1K,381100,2.3K,2300,5.4K,5400
194,miakhalifa,Mia K.,36.6M,3.9M,3900000,227.2K,227200,4.9K,4900,1.4K,1400
195,jacobday,Jacob Day,6.5M,2.5M,2500000,476.2K,476200,3.5K,3500,1.1K,1100
196,matheuskriwat,Matheuskriwat,11.2M,3.7M,3700000,236.2K,236200,5.8K,5800,523,523
197,calebwsimpson,CALEB SIMPSON,6.5M,4.5M,4500000,449.9K,449900,1K,1000,1.7K,1700
198,cheekyboyos,the cheeky boyos,11M,3.8M,3800000,475.2K,475200,1.8K,1800,1.2K,1200
199,oliviergiroud,Olivier Giroud,1.3M,2.7M,2700000,452.5K,452500,2.7K,2700,1.8K,1800
200,vincentgiganteee,Vincent Gigante,2.6M,3.3M,3300000,607.7K,607700,1K,1000,1.7K,1700
201,thebenjishow,benji,6.2M,2.8M,2800000,458.3K,458300,1.3K,1300,2.9K,2900
202,joaodoce,Joao Doce,3.3M,3.4M,3400000,352.9K,352900,2.8K,2800,1.7K,1700
203,andrea.dvrs,Dapaney🦋,2.6M,5.2M,5200000,526.1K,526100,1.3K,1300,709,709
204,officialbhafc,Brighton & Hove Albion FC,600.3K,4.6M,4600000,389K,389000,2.2K,2200,729,729
205,claudiaraia,Claudia Raia,2.8M,3.2M,3200000,446.1K,446100,2.6K,2600,1.1K,1100
206,elsaucepapii,SaucePapii22,1.5M,2.4M,2400000,219.9K,219900,684,684,9.3K,9300
207,werenotreallystrangers,WNRS,4.8M,2M,2000000,315.9K,315900,2.8K,2800,5.4K,5400
208,marianagrimaldii,La Niña Fresa 🍓,3.8M,4.5M,4500000,414K,414000,636,636,2.2K,2200
209,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,4.4M,2.1M,2100000,238.4K,238400,3.8K,3800,6.9K,6900
